adcode,name,longitude,latitude
5.00E+11,忠县,108.039002,30.299559
4.11E+11,龙安区,114.301331,36.076225
3.10E+11,虹口区,121.505133,31.2646
1.41E+11,忻府区,112.746046,38.404242
1.41E+11,河曲县,111.138472,39.384482
1.20E+11,河北区,117.196648,39.147869
6.54E+11,哈巴河县,86.418621,48.060846
6.11E+11,定边县,107.601267,37.594612
4.42E+11,阳江市,111.982589,21.857887
6.51E+11,伊吾县,94.697074,43.254978
5.12E+11,巴州区,106.768878,31.851478
3.41E+11,休宁县,118.193618,29.784124
6.40E+11,红寺堡区,106.062113,37.425702
3.51E+11,晋江市,118.551682,24.781636
6.21E+11,礼县,105.17864,34.189345
3.41E+11,义安区,117.791544,30.952823
3.50E+11,闽清县,118.863361,26.221197
2.11E+11,本溪满族自治县,124.120635,41.302009
4.12E+11,商水县,114.611651,33.542138
4.12E+11,周口市,114.69695,33.626149
4.45E+11,云浮市,112.044491,22.915094
6.54E+11,乌苏市,84.713396,44.41881
5.43E+11,改则县,84.06259,32.302713
6.40E+11,彭阳县,106.631809,35.858815
2.11E+11,锦州市,121.126846,41.095685
4.40E+11,越秀区,113.266835,23.128537
3.71E+11,庆云县,117.385256,37.775349
5.11E+11,剑阁县,105.524766,32.287722
5.43E+11,措勤县,85.151455,31.017312
3.70E+11,台儿庄区,117.734414,34.56244
6.10E+11,高陵区,109.088297,34.534829
3.51E+11,诏安县,117.175184,23.711579
5.12E+11,武胜县,106.295764,30.348772
4.11E+11,许昌县,113.822983,34.12466
6.41E+11,中宁县,105.685218,37.491546
4.10E+11,中牟县,113.976253,34.718936
5.40E+11,波密县,95.767913,29.859028
2.11E+11,义县,121.23908,41.533086
3.71E+11,寿光市,118.790739,36.85576
4.30E+11,株洲市,113.133853,27.827986
4.11E+11,延津县,114.20509,35.141889
4.11E+11,新乡县,113.805205,35.190836
3.42E+11,亳州市,115.77867,33.844592
3.70E+11,市北区,120.374701,36.0876
5.20E+11,市辖区,,
4.50E+11,横县,109.261384,22.679931
2.11E+11,市辖区,,
4.42E+11,东莞市,113.751799,23.020673
4.23E+11,建始县,109.722109,30.602129
6.40E+11,金凤区,106.239679,38.47436
3.71E+11,东平县,116.470304,35.937102
3.71E+11,市辖区,,
4.11E+11,魏都区,113.822647,34.025341
1.31E+11,安新县,115.935603,38.935369
3.31E+11,临海市,121.144556,28.858881
5.00E+11,涪陵区,107.38977,29.703022
4.21E+11,梁子湖区,114.684731,30.100141
4.41E+11,遂溪县,110.250123,21.377246
3.71E+11,莒南县,118.835163,35.174846
3.20E+11,邳州市,118.012531,34.338888
1.41E+11,汾阳市,111.770477,37.261756
6.11E+11,汉阴县,108.508745,32.893026
5.31E+11,大关县,103.891146,27.747978
6.40E+11,原州区,106.287781,36.003739
4.10E+11,兰考县,114.821348,34.822211
5.33E+11,陇川县,97.792104,24.182965
4.40E+11,天河区,113.361575,23.124807
2.21E+11,洮南市,122.798579,45.356807
3.21E+11,沭阳县,118.804784,34.111022
6.53E+11,塔什库尔干塔吉克自治县,75.229889,37.772094
3.31E+11,路桥区,121.365123,28.582654
1.53E+11,锡林浩特市,116.086029,43.933403
3.50E+11,明溪县,117.202226,26.355856
3.41E+11,歙县,118.415345,29.861379
4.21E+11,洪湖市,113.475801,29.826916
4.21E+11,公安县,112.229648,30.058336
3.50E+11,连江县,119.539704,26.197364
2.11E+11,铁岭市,123.726035,42.223828
6.50E+11,克拉玛依市,84.889207,45.579888
5.33E+11,云龙县,99.37112,25.885595
5.00E+11,铜梁区,106.056404,29.844811
2.20E+11,东丰县,125.531021,42.677371
2.30E+11,五常市,127.167618,44.931991
4.40E+11,乳源瑶族自治县,113.275883,24.776078
4.10E+11,舞钢市,113.516343,33.314033
6.32E+11,海晏县,100.99426,36.896359
2.31E+11,翠峦区,128.669754,47.726394
3.70E+11,桓台县,118.097922,36.959804
1.40E+11,沁源县,112.337446,36.5002
4.41E+11,南澳县,117.023374,23.421724
5.12E+11,宣汉县,107.72719,31.353835
5.13E+11,泸定县,102.234617,29.91416
3.71E+11,招远市,120.434071,37.355469
1.30E+11,古冶区,118.447635,39.733578
5.23E+11,瓮安县,107.470942,27.078441
3.21E+11,射阳县,120.229986,33.758361
6.54E+11,青河县,90.37555,46.679113
3.70E+11,高青县,117.826924,37.170979
6.10E+11,扶风县,107.900219,34.37541
5.20E+11,息烽县,106.740407,27.090479
6.54E+11,伊宁县,81.52745,43.977119
4.11E+11,梁园区,115.613965,34.443893
6.21E+11,市辖区,,
5.12E+11,南溪区,104.969152,28.846382
6.23E+11,甘南藏族自治州,102.910995,34.983409
4.69E+11,琼海市,110.474497,19.259134
5.40E+11,聂拉木县,85.982237,28.155186
4.41E+11,市辖区,,
3.30E+11,余杭区,120.299401,30.419045
2.31E+11,尖山区,131.158415,46.64635
4.42E+11,清新区,113.017747,23.734677
2.21E+11,洮北区,122.851029,45.621716
4.20E+11,茅箭区,110.813719,32.591904
6.21E+11,敦煌市,94.661941,40.142089
4.42E+11,阳东区,112.006363,21.868337
4.42E+11,龙川县,115.259871,24.100066
4.31E+11,北塔区,111.452196,27.246489
4.41E+11,市辖区,,
3.72E+11,聊城市,115.985389,36.456684
3.70E+11,市辖区,,
1.41E+11,临汾市,111.518975,36.088005
6.21E+11,民乐县,100.812629,38.430347
3.42E+11,金安区,116.539173,31.750119
3.10E+11,黄浦区,121.484428,31.231739
3.61E+11,南丰县,116.525725,27.218444
2.31E+11,东安区,129.626641,44.58136
2.33E+11,呼玛县,126.652396,51.726091
3.50E+11,宁化县,116.654365,26.261754
4.41E+11,蕉岭县,116.171355,24.658699
3.40E+11,瑶海区,117.309546,31.857917
3.50E+11,清流县,116.816909,26.177796
3.70E+11,枣庄市,117.323725,34.810488
5.13E+11,阿坝藏族羌族自治州,102.224653,31.899413
3.50E+11,长乐市,119.523266,25.962888
